Date,Sales
2021-01-01,156
2021-01-02,172
2021-01-03,134
2021-01-04,121
2021-01-05,179
2021-01-06,142
2021-01-07,188
2021-01-08,129
2021-01-09,187
2021-01-10,111
2021-01-11,157
2021-01-12,119
2021-01-13,139
2021-01-14,198
2021-01-15,127
2021-01-16,163
2021-01-17,123
2021-01-18,172
2021-01-19,100
2021-01-20,195
2021-01-21,180
2021-01-22,167
2021-01-23,188
2021-01-24,156
2021-01-25,134
2021-01-26,107
2021-01-27,192
2021-01-28,157
2021-01-29,145
2021-01-30,115
2021-01-31,197
2021-02-01,175
2021-02-02,152
2021-02-03,119
2021-02-04,190
2021-02-05,142
2021-02-06,116
2021-02-07,192
2021-02-08,189
2021-02-09,139
2021-02-10,173
2021-02-11,106
2021-02-12,153
2021-02-13,151
2021-02-14,125
2021-02-15,181
2021-02-16,139
2021-02-17,184
2021-02-18,155
2021-02-19,142
2021-02-20,120
2021-02-21,198
2021-02-22,105
2021-02-23,178
2021-02-24,186
2021-02-25,160
2021-02-26,196
2021-02-27,140
2021-02-28,127
2021-03-01,136
2021-03-02,108
2021-03-03,187
2021-03-04,169
2021-03-05,138
2021-03-06,159
2021-03-07,187
2021-03-08,143
2021-03-09,174
2021-03-10,163
2021-03-11,113
2021-03-12,152
2021-03-13,179
2021-03-14,140
2021-03-15,172
2021-03-16,191
2021-03-17,164
2021-03-18,151
2021-03-19,137
2021-03-20,111
2021-03-21,198
2021-03-22,119
2021-03-23,186
2021-03-24,146
2021-03-25,188
2021-03-26,159
2021-03-27,126
2021-03-28,133
2021-03-29,106
2021-03-30,182
2021-03-31,179
2021-04-01,138
2021-04-02,153
2021-04-03,187
2021-04-04,111
2021-04-05,175
2021-04-06,195
2021-04-07,136
2021-04-08,163
2021-04-09,118
2021-04-10,151
